TranDate,Account,Dept,Sum of Amount
1/2/2015,66040,173,($3.24)
1/2/2015,61540,266,($0.70)
1/2/2015,65750,281,($553.19)
1/2/2015,abc,174,$6.07 
1/2/2015,abc,186,($0.37)
1/2/2015,abc,286,$664.01 
1/2/2015,abc,265,($129.96)
1/2/2015,abc,265,($144.40)
1/2/2015,abc,163,($20.66)
1/2/2015,abc,151,($67.42)
1/2/2015,abc,199,$219.63 
1/2/2015,abc,186,($0.80)
1/2/2015,66050,179,($37.72)
1/2/2015,81350,208,$8.49 
1/2/2015,86100,266,$694.30 
1/2/2015,62550,271,($6.56)
1/2/2015,72070,194,"$1,846.72 "
1/2/2015,65540,197,($55.19)
1/2/2015,62530,199,($1.76)
1/2/2015,73030,178,"$1,556.29 "
1/2/2015,64020,207,$0.32 
1/2/2015,86040,162,$27.74 
1/2/2015,65550,154,($66.34)
1/2/2015,61550,264,($22.71)
1/2/2015,85010,253,$87.63 
1/2/2015,65600,202,($12.31)
1/2/2015,81170,191,$17.31 
1/2/2015,62530,175,($1.64)
1/2/2015,66020,187,($14.93)
1/2/2015,72160,163,"$1,146.88 "
1/2/2015,68050,171,($1.01)
1/2/2015,66050,253,($37.72)
1/2/2015,73040,271,$95.58 
1/2/2015,71560,194,$80.00 
1/2/2015,62520,184,($13.25)
1/2/2015,66120,203,($2.07)
1/2/2015,66550,259,($6.75)
1/2/2015,73030,157,$388.23 
1/2/2015,66520,183,($8.32)
1/2/2015,66070,287,($0.21)
1/2/2015,81190,210,$83.85 
1/2/2015,73040,258,$698.58 
1/2/2015,71310,258,"$1,201.66 "
1/2/2015,66070,262,($0.23)
1/2/2015,62510,246,($35.08)
1/2/2015,72140,226,$867.82 
1/2/2015,65730,240,($4.56)
1/2/2015,61520,168,($93.75)
1/2/2015,62550,203,($6.21)
1/2/2015,72340,216,($336.68)
1/2/2015,65900,264,($18.23)
1/3/2015,66130,235,($65.22)
1/3/2015,62550,216,($8.74)
1/3/2015,81180,173,$460.75 
1/3/2015,62520,209,($12.56)
1/3/2015,66020,247,($14.14)
1/3/2015,86450,286,$32.12 
1/3/2015,73020,198,$4.48 
1/3/2015,64000,222,$101.63 
1/3/2015,86320,158,$12.77 
1/3/2015,85510,154,$520.98 
1/3/2015,66070,273,($0.21)
1/3/2015,65590,177,($13.12)
1/3/2015,66510,242,($6.70)
1/3/2015,86100,179,$25.39 
1/3/2015,86270,167,$44.55 
1/3/2015,61550,228,($22.71)
1/3/2015,62099,216,$16.79 
1/3/2015,61550,224,($25.24)
1/3/2015,73020,161,$163.56 
1/3/2015,66050,254,($39.81)
1/3/2015,86320,236,$14.19 
1/3/2015,73020,200,$129.54 
1/3/2015,61540,218,($0.74)
1/3/2015,65740,179,($383.05)
1/3/2015,83070,246,$465.98 
1/3/2015,66050,195,($41.91)
1/3/2015,71240,170,$363.65 
1/3/2015,66110,161,($0.50)
1/3/2015,66070,177,($1.66)
1/3/2015,65740,197,($362.89)
1/3/2015,65750,229,($515.03)
1/3/2015,62010,260,($178.56)
1/3/2015,61540,287,($0.70)
1/3/2015,86010,285,$485.85 
1/3/2015,65700,196,($42.09)
1/3/2015,83020,150,$890.01 
1/3/2015,62099,223,$14.81 
1/3/2015,66020,177,($15.71)
1/3/2015,62550,253,($6.21)
1/3/2015,65600,251,($14.77)
1/3/2015,83050,156,$722.22 
1/3/2015,81900,199,$144.08 
1/3/2015,86020,293,$16.50 
1/3/2015,65600,257,($22.78)
1/3/2015,81900,244,$7.73 
1/3/2015,62520,181,($14.24)
1/3/2015,61570,212,($47.34)
1/3/2015,64010,242,$15.27 
1/3/2015,61520,290,($98.95)
1/3/2015,65590,238,($11.75)
1/3/2015,62530,298,($1.47)
1/4/2015,66020,256,($14.93)
1/4/2015,66100,227,($5.12)
1/4/2015,65590,253,($11.16)
1/4/2015,62530,156,($1.47)
1/4/2015,86010,189,$59.34 
1/4/2015,71160,150,$14.98 
1/4/2015,65550,267,($31.17)
1/4/2015,65550,287,($31.17)
1/4/2015,81210,176,$342.89 
1/4/2015,62510,287,($37.03)
1/4/2015,66510,209,($6.93)
1/4/2015,64000,198,$89.64 
1/4/2015,64010,273,$43.18 
1/4/2015,71560,290,$76.00 
1/4/2015,61570,204,($44.85)
1/4/2015,86030,189,($12.40)
1/4/2015,65570,243,($0.80)
1/4/2015,62550,244,($6.56)
1/4/2015,86040,182,$6.74 
1/4/2015,62550,155,($6.21)
1/4/2015,66070,216,($0.23)
1/4/2015,72340,183,($45.80)
1/4/2015,86450,199,($1.48)
1/4/2015,65740,157,($362.89)
1/4/2015,61570,249,($49.83)
1/4/2015,62560,222,($0.46)
1/4/2015,65690,187,($26.78)
1/4/2015,71200,289,$30.16 
1/4/2015,66070,165,($0.21)
1/4/2015,83020,188,$240.37 
1/4/2015,66020,186,($40.53)
1/4/2015,64000,213,$94.62 
1/4/2015,66550,189,($6.08)
1/4/2015,81220,284,$6.41 
1/4/2015,83020,265,$299.07 
1/4/2015,66110,256,($0.67)
1/4/2015,68060,195,($42.54)
1/4/2015,65700,179,($44.31)
1/4/2015,73020,296,$40.68 
1/4/2015,73010,248,($617.90)
1/4/2015,65900,202,($19.24)
1/4/2015,65750,248,($542.14)
1/4/2015,86200,255,$64.20 
1/4/2015,62550,220,($19.62)
1/4/2015,71060,253,$1.79 
1/5/2015,86290,162,$148.41 
1/5/2015,62530,161,($1.47)
1/5/2015,82040,150,$17.13 
1/5/2015,65750,217,($515.03)
1/5/2015,86100,220,$47.96 
1/5/2015,65590,289,($10.94)
1/5/2015,65760,271,($7.31)
1/5/2015,61560,285,($0.94)
1/5/2015,62010,248,($188.48)
1/5/2015,65590,164,($10.94)
1/5/2015,66110,247,($0.50)
1/5/2015,61520,173,($100.69)
1/5/2015,68060,294,($40.41)
1/5/2015,62530,168,($1.96)
1/5/2015,65740,197,($362.89)
1/5/2015,66510,214,($6.93)
1/5/2015,73030,235,$537.51 
1/5/2015,65730,269,($4.56)
1/5/2015,64000,276,$126.16 
1/5/2015,62510,178,($46.77)
1/5/2015,71060,259,$27.38 
1/5/2015,66050,288,($53.08)
1/5/2015,62560,262,($0.39)
1/5/2015,66550,290,($6.75)
1/5/2015,66520,233,($7.90)
1/5/2015,73040,287,$157.32 
1/5/2015,66070,276,($0.22)
1/5/2015,66520,252,($8.32)
1/5/2015,61540,175,($0.77)
1/5/2015,62560,251,($0.35)
1/5/2015,65540,181,($73.59)
1/5/2015,73050,224,($0.66)
1/5/2015,62520,186,($13.95)
1/5/2015,71299,196,($10.15)
1/5/2015,65730,298,($4.56)
1/5/2015,71550,195,$42.03 
1/5/2015,66040,265,($5.58)
1/5/2015,61510,152,($14.62)
1/5/2015,64020,204,$0.47 
1/5/2015,65550,195,($29.53)
1/5/2015,62020,291,($279.13)
1/5/2015,71030,297,$81.34 
1/5/2015,81900,169,$7.32 
1/5/2015,65550,274,($32.81)
1/5/2015,62510,172,($41.86)
1/6/2015,71170,176,$254.19 
1/6/2015,73020,245,$136.35 
1/6/2015,66520,181,($7.48)
1/6/2015,66100,290,($4.76)
1/6/2015,81900,217,$8.13 
1/6/2015,62010,175,($178.56)
1/6/2015,61550,246,($22.71)
1/6/2015,62530,165,($1.47)
1/6/2015,86050,216,$123.29 
1/6/2015,61520,206,($93.75)
1/6/2015,65750,266,($515.03)
1/6/2015,65730,295,($5.06)
1/6/2015,81130,273,$215.82 
1/6/2015,62099,197,$14.81 
1/6/2015,72160,286,"$1,210.59 "
1/6/2015,83060,230,$131.50 
1/6/2015,86350,221,$256.75 
1/6/2015,68050,181,($0.81)
1/6/2015,66130,193,($61.96)
1/6/2015,73030,188,$510.63 
1/6/2015,81170,204,$82.68 
1/6/2015,73010,288,$8.36 
1/6/2015,86320,264,$13.48 
1/6/2015,72120,190,"$6,095.03 "
1/6/2015,86100,158,$48.52 
1/6/2015,61550,291,($22.71)
1/6/2015,83060,238,$124.58 
1/6/2015,65550,171,($32.81)
1/6/2015,83030,197,$494.84 
1/6/2015,86290,266,$156.66 
1/6/2015,61510,161,($20.52)
1/6/2015,66120,154,($1.97)
1/6/2015,63060,222,$7.67 
1/6/2015,66550,242,($6.08)
1/6/2015,86020,268,$2.02 
1/6/2015,65540,272,($61.32)
1/6/2015,65700,211,($39.88)
1/6/2015,83030,283,$145.41 
1/6/2015,66120,188,($5.66)
1/6/2015,68060,252,($41.12)
1/6/2015,73020,179,$122.72 
1/6/2015,72090,265,$888.10 
1/6/2015,66510,240,($6.24)
1/6/2015,65690,184,($29.75)
1/6/2015,65600,296,($11.08)
1/7/2015,65750,173,($524.07)
1/7/2015,65740,298,($483.85)
1/7/2015,72050,210,$169.80 
1/7/2015,64010,161,$15.27 
1/7/2015,65760,206,($8.78)
1/7/2015,62099,276,$15.90 
1/7/2015,65750,210,($487.93)
1/7/2015,61570,170,($48.17)
1/7/2015,71010,272,$195.48 
1/7/2015,64000,260,$96.28 
1/7/2015,73050,242,($12.79)
1/7/2015,84020,208,$142.97 
1/7/2015,65750,221,($487.93)
1/7/2015,65590,227,($10.94)
1/7/2015,61570,152,($49.83)
1/7/2015,71010,247,$185.19 
1/7/2015,66110,250,($0.60)
1/7/2015,72340,253,($231.84)
1/7/2015,66550,156,($6.08)
1/7/2015,61550,281,($25.24)
1/7/2015,65550,287,($43.74)
1/7/2015,81060,292,$750.65 
1/7/2015,66100,193,($4.76)
1/7/2015,61560,182,($0.94)
1/7/2015,66110,195,($0.50)
1/7/2015,61560,226,($1.04)
1/7/2015,66510,260,($6.59)
1/7/2015,65600,267,($11.08)
1/7/2015,66520,186,($7.48)
1/7/2015,66040,228,($3.24)
1/7/2015,66510,161,($13.38)
1/7/2015,65710,188,"($1,186.41)"
1/7/2015,61570,194,($59.80)
1/7/2015,80990,207,"$2,647.13 "
1/7/2015,65600,286,($11.08)
1/7/2015,64010,284,$21.49 
1/7/2015,65700,233,($39.88)
1/7/2015,83020,254,$72.00 
1/7/2015,65690,290,($28.27)
1/7/2015,65590,219,($9.84)
1/7/2015,61520,223,($104.16)
1/7/2015,66110,260,($0.50)
