TranDate,Account,Dept,Sum of Amount,,
02/01/15,66510,140,($16.84),,
02/01/15,64020,150,$0.17 ,,
02/01/15,83020,130,$100.00 ,,
02/01/15,63060,150,($2.00),,
02/01/15,65590,110,($35.54),,
02/01/15,66050,130,($52.39),,
02/01/15,66080,130,($6.75),,
02/01/15,66070,130,($4.08),,
02/01/15,86120,110,$20.06 ,,
02/01/15,63060,150,($2.00),,
02/01/15,71030,120,$38.58 ,,
02/01/15,65570,110,($3.34),,
02/01/15,61520,150,($109.77),,
02/01/15,86270,150,$38.59 ,,
02/01/15,65740,110,($504.01),,
02/01/15,73030,170,$73.68 ,,
02/01/15,65710,110,($723.42),,
02/01/15,73060,165,$84.60 ,,
02/01/15,61530,150,($29.68),,
02/01/15,65760,110,($9.14),,
02/01/15,63060,150,($2.00),,
02/01/15,66510,140,($15.68),,
02/01/15,81330,160,$668.84 ,,
02/01/15,68050,170,($0.17),,
02/01/15,62530,120,($9.28),,
02/01/15,65760,110,($9.14),,
02/01/15,86290,150,$180.79 ,,
02/01/15,82050,150,$105.36 ,,
02/01/15,62099,150,$12.62 ,,
02/01/15,61550,150,($79.64),,
02/01/15,62520,120,($64.85),,
02/01/15,62510,120,($42.85),,
02/01/15,86120,110,$20.06 ,,
02/01/15,66520,140,($20.01),,
02/01/15,86100,120,$21.67 ,,
02/01/15,73040,110,$193.50 ,,
02/01/15,61550,150,($106.18),,
02/01/15,66130,130,($81.52),,
02/01/15,61530,150,($22.26),,
02/01/15,65710,110,($964.57),,
02/01/15,86030,110,($92.27),,
02/01/15,61540,150,($1.45),,
02/01/15,73030,165,$96.54 ,,
02/01/15,66110,130,($0.93),,
02/01/15,65690,110,($66.49),,
02/01/15,83060,170,$173.03 ,,
02/01/15,66010,130,($3.38),,
02/01/15,65700,110,($118.59),,
02/01/15,66550,140,($32.10),,
02/02/15,83060,170,$173.03 ,,
02/02/15,61560,150,($3.27),,
02/02/15,73010,165,$113.92 ,,
02/02/15,81210,160,$59.89 ,,
02/02/15,66020,130,($92.25),,
02/02/15,65600,110,($56.43),,
02/02/15,66080,130,($5.06),,
02/02/15,65570,110,($3.34),,
02/02/15,71170,150,$226.83 ,,
02/02/15,61510,150,($26.01),,
02/02/15,65760,110,($12.19),,
02/02/15,62530,120,($9.28),,
02/02/15,72340,170,($90.00),,
02/02/15,61550,150,($106.18),,
02/02/15,72070,150,"$1,912.01 ",,
02/02/15,62560,120,($17.08),,
02/02/15,65750,110,($677.68),,
02/02/15,65760,110,($9.14),,
02/02/15,66030,130,($0.73),,
02/02/15,81240,160,$75.00 ,,
02/02/15,61540,150,($1.45),,
02/02/15,86100,160,$202.98 ,,
02/02/15,65700,110,($95.53),,
02/02/15,68060,170,($53.17),,
02/02/15,66050,130,($56.27),,
02/02/15,68050,170,($0.16),,
02/02/15,71299,150,($2.63),,
02/02/15,81260,160,$1.87 ,,
02/02/15,62510,120,($42.85),,
02/02/15,86350,150,$68.78 ,,
02/02/15,81220,160,$45.28 ,,
02/02/15,65550,110,($75.94),,
02/02/15,68060,170,($70.90),,
02/02/15,66010,130,($3.63),,
02/02/15,64000,150,$168.88 ,,
02/02/15,65710,110,($777.01),,
02/02/15,64020,150,$0.18 ,,
02/02/15,71010,120,$205.82 ,,
02/02/15,72090,150,"$1,024.83 ",,
02/02/15,66010,130,($3.38),,
02/02/15,66510,140,($15.68),,
02/02/15,65550,110,($75.94),,
02/02/15,81140,160,$3.73 ,,
02/02/15,65730,110,($6.33),,
02/02/15,73040,160,$126.00 ,,
02/02/15,73040,150,$265.50 ,,
02/02/15,61530,150,($22.26),,
02/02/15,66520,140,($24.84),,
02/02/15,82040,130,$0.91 ,,
02/03/15,64020,150,$0.17 ,,
02/03/15,86360,150,$125.77 ,,
02/03/15,61520,150,($109.77),,
02/03/15,81150,160,$20.43 ,,
02/03/15,61510,150,($34.68),,
02/03/15,66100,130,($6.62),,
02/03/15,82100,170,$24.06 ,,
02/03/15,66120,130,($2.78),,
02/03/15,66030,130,($0.90),,
02/03/15,66010,130,($3.38),,
02/03/15,65710,110,($723.42),,
02/03/15,65760,110,($9.14),,
02/03/15,65540,110,($318.21),,
02/03/15,61560,150,($2.45),,
02/03/15,65700,110,($88.94),,
02/03/15,66130,130,($87.56),,
02/03/15,66130,130,($108.70),,
02/03/15,65540,110,($318.21),,
02/03/15,61530,150,($22.26),,
