TranDate,Account,Dept,Sum of Amount,,
03/01/15,66100,213,($3.01),,
03/01/15,66090,235,($11.52),,
03/01/15,65600,173,($53.46),,
03/01/15,66030,151,($5.30),,
03/01/15,65660,271,($11.53),,
03/01/15,73030,157,$40.03 ,,
03/01/15,62550,158,($21.62),,
03/01/15,61520,226,($87.98),,
03/01/15,66070,289,($2.37),,
03/01/15,65660,245,($8.59),,
03/01/15,61520,236,($115.49),,
03/01/15,65610,273,($13.91),,
03/01/15,62560,160,($7.93),,
03/01/15,66020,244,($89.99),,
03/01/15,66110,250,($0.50),,
03/01/15,61550,180,($63.08),,
03/01/15,61570,276,($57.59),,
03/01/15,81280,295,$7.65 ,,
03/01/15,66020,250,($89.99),,
03/01/15,66100,212,($5.39),,
03/01/15,66010,291,($1.22),,
03/01/15,62560,201,($6.97),,
03/01/15,65610,230,($11.12),,
03/01/15,62030,240,($5.60),,
03/01/15,65660,255,($6.44),,
03/01/15,66030,236,($4.34),,
03/01/15,62099,218,$10.97 ,,
03/01/15,64000,211,$135.19 ,,
03/01/15,71240,289,$311.86 ,,
03/01/15,65600,178,($36.45),,
03/01/15,61560,251,($3.91),,
03/01/15,65700,220,($95.97),,
03/01/15,86010,185,$6.30 ,,
03/01/15,62550,213,($16.21),,
03/01/15,73070,294,$44.20 ,,
03/01/15,81210,236,$57.49 ,,
03/01/15,65750,203,($498.73),,
03/01/15,73070,194,$11.37 ,,
03/01/15,65590,167,($16.66),,
03/01/15,73020,212,$36.14 ,,
03/01/15,81150,284,$38.52 ,,
03/01/15,81110,255,$4.58 ,,
03/01/15,66010,210,($1.49),,
03/01/15,73020,222,$97.68 ,,
03/01/15,62520,150,($67.86),,
03/01/15,65600,295,($52.20),,
03/01/15,72140,153,$763.76 ,,
03/01/15,71560,247,($7.11),,
03/01/15,65710,213,($408.95),,
03/02/15,82010,187,$147.77 ,,
03/02/15,65760,192,($6.92),,
03/02/15,65660,255,($8.30),,
03/02/15,65690,224,($62.14),,
03/02/15,66090,252,($10.37),,
03/02/15,66530,236,($36.36),,
03/02/15,62010,217,($322.35),,
03/02/15,61570,156,($52.35),,
03/02/15,65610,260,($8.96),,
03/02/15,66550,267,($23.05),,
03/02/15,86200,185,$28.36 ,,
03/02/15,65760,189,($5.07),,
03/02/15,66510,171,($11.99),,
03/02/15,72050,164,$398.55 ,,
03/02/15,64010,199,$12.64 ,,
03/02/15,81270,222,$165.92 ,,
03/02/15,65710,191,($527.09),,
03/02/15,61520,186,($97.75),,
03/02/15,66070,261,($2.37),,
03/02/15,66120,257,($1.55),,
03/02/15,71060,238,$48.47 ,,
03/02/15,66030,252,($6.03),,
03/02/15,73020,249,$62.41 ,,
03/02/15,66110,298,($0.56),,
03/02/15,65610,246,($13.91),,
03/02/15,86450,288,($29.76),,
03/02/15,62030,197,($5.22),,
03/02/15,66030,227,($5.79),,
03/02/15,64000,297,$110.61 ,,
03/02/15,72160,174,$962.89 ,,
03/02/15,71550,206,$56.61 ,,
03/02/15,65600,229,($43.74),,
03/02/15,85010,170,$89.38 ,,
03/02/15,61530,188,($23.38),,
03/02/15,64000,161,$147.48 ,,
03/02/15,72130,181,$274.04 ,,
03/02/15,66040,198,($2.51),,
03/02/15,65740,154,($390.88),,
03/02/15,62010,193,($293.05),,
03/02/15,65660,224,($6.92),,
03/02/15,65760,221,($6.29),,
03/02/15,64010,233,$9.48 ,,
03/02/15,65710,215,($490.74),,
03/02/15,86290,235,$34.08 ,,
03/02/15,66030,161,($5.30),,
03/02/15,73020,196,$7.07 ,,
03/02/15,66070,231,($3.39),,
03/02/15,86020,199,$41.27 ,,
03/02/15,65590,291,($13.63),,
03/03/15,71030,216,$89.74 ,,
03/03/15,65540,185,($137.91),,
03/03/15,62030,192,($9.34),,
03/03/15,65750,188,($554.14),,
03/03/15,62560,248,($7.93),,
03/03/15,64020,239,$5.43 ,,
03/03/15,61560,199,($2.98),,
03/03/15,72150,162,"$1,072.99 ",,
