TranDate,Account,Dept,Sum of Amount
5/1/2015,65690,Monday,($58.14)
5/1/2015,65540,Monday,($318.85)
5/1/2015,61510,Monday,($93.57)
5/1/2015,61570,Monday,($136.54)
5/1/2015,86050,Monday,$60.18 
5/1/2015,66040,Monday,($48.60)
5/1/2015,71299,Monday,($27.89)
5/1/2015,65700,Monday,($290.72)
5/1/2015,66010,Monday,($58.29)
5/1/2015,66040,253,($54.00)
5/1/2015,65620,223,($40.90)
5/1/2015,65750,151,($379.68)
5/1/2015,62560,176,($12.50)
5/1/2015,81220,167,$93.78 
5/1/2015,66120,231,($2.32)
5/1/2015,65650,232,($496.32)
5/1/2015,65660,192,($169.51)
5/1/2015,86030,191,($3.47)
5/1/2015,66110,246,($0.31)
5/1/2015,62099,163,$40.27 
5/1/2015,61540,237,($36.92)
5/1/2015,72050,242,$118.15 
5/1/2015,62030,193,($162.69)
5/1/2015,66070,206,($21.33)
5/1/2015,66110,227,($0.30)
5/1/2015,62030,181,($227.76)
5/1/2015,65650,176,($592.20)
5/1/2015,81180,275,$16.17 
5/1/2015,65550,292,($475.43)
5/1/2015,61540,163,($25.56)
5/1/2015,61550,210,($227.75)
5/1/2015,81150,292,$16.27 
5/1/2015,65610,166,($269.41)
5/1/2015,65690,282,($48.45)
5/1/2015,62520,264,($205.41)
5/1/2015,62530,152,($76.34)
5/1/2015,62510,173,($396.93)
5/1/2015,83060,283,$64.73 
5/1/2015,65660,267,($155.39)
5/1/2015,73030,180,$121.54 
5/1/2015,62530,232,($58.72)
5/1/2015,65730,182,$1.35 
5/1/2015,66010,228,($41.76)
5/1/2015,62550,264,($32.58)
5/1/2015,65760,297,($5.59)
5/1/2015,61530,290,($39.31)
5/1/2015,65570,216,($6.15)
5/1/2015,64020,249,$1.38 
5/1/2015,73040,293,$32.40 
5/1/2015,65610,218,($323.29)
5/1/2015,65760,263,($10.76)
5/1/2015,66120,252,($2.56)
5/1/2015,65690,193,($69.37)
5/1/2015,86310,291,$273.13 
5/1/2015,66510,222,($87.60)
5/1/2015,66070,260,($8.16)
5/2/2015,64010,223,$58.25 
5/2/2015,72040,205,"$1,055.35 "
5/2/2015,73020,251,$22.20 
5/2/2015,65740,286,($726.18)
5/2/2015,66510,211,($66.75)
5/2/2015,65540,185,($217.40)
5/2/2015,81100,173,$140.10 
5/2/2015,66070,199,($9.20)
5/2/2015,66520,207,($19.31)
5/2/2015,86180,240,$23.28 
5/2/2015,66510,236,($67.30)
5/2/2015,62010,245,($581.31)
5/2/2015,66070,292,($9.41)
5/2/2015,62550,215,($66.82)
5/2/2015,65590,162,($51.83)
