TranDate,Account,Dept,Sum of Amount,,
06/01/15,66510,293,($129.11),,
06/01/15,61530,224,($96.51),,
06/01/15,66030,241,($3.85),,
06/01/15,62530,283,($80.08),,
06/01/15,65620,213,($279.49),,
06/01/15,65570,164,($7.68),,
06/01/15,66010,176,($95.71),,
06/01/15,61550,258,($473.08),,
06/01/15,86310,180,$138.29 ,,
06/01/15,62099,189,$20.23 ,,
06/01/15,65630,203,$0.16 ,,
06/01/15,65710,188,($673.28),,
06/01/15,86020,286,$14.71 ,,
06/01/15,73040,155,$211.50 ,,
06/01/15,71325,163,($680.39),,
06/01/15,73010,298,($186.25),,
06/01/15,66040,271,($62.31),,
06/01/15,66120,255,($7.88),,
06/01/15,81210,186,$395.61 ,,
06/01/15,64020,165,$1.69 ,,
06/01/15,81260,259,$14.36 ,,
06/01/15,62550,223,($45.94),,
06/01/15,62099,274,$31.46 ,,
06/01/15,66510,184,($91.81),,
06/01/15,66030,176,($18.22),,
06/01/15,65620,285,($335.38),,
06/01/15,66530,293,($19.99),,
06/01/15,66090,188,($60.90),,
06/01/15,62560,264,($11.00),,
06/01/15,65620,173,($235.26),,
06/01/15,65570,198,($7.94),,
06/01/15,61550,194,($459.88),,
06/01/15,65610,193,($411.60),,
06/01/15,65540,255,($294.40),,
06/01/15,66050,292,($39.81),,
06/01/15,65710,263,($510.29),,
06/01/15,62099,295,$32.72 ,,
06/01/15,64000,201,$334.56 ,,
06/01/15,68060,236,($55.46),,
06/01/15,61570,225,($175.90),,
06/01/15,73040,278,$35.64 ,,
06/01/15,71180,198,$553.00 ,,
06/01/15,65600,212,($244.55),,
06/01/15,66090,198,($50.16),,
06/01/15,86450,257,$982.06 ,,
06/01/15,84020,274,$126.16 ,,
06/01/15,64020,188,$2.82 ,,
06/01/15,62520,261,($187.67),,
06/01/15,71560,188,$100.00 ,,
06/01/15,62020,240,"($1,497.00)",,
06/01/15,66070,270,($12.58),,
06/01/15,73030,244,$258.23 ,,
06/01/15,73030,258,$416.04 ,,
06/01/15,81150,214,$18.49 ,,
06/02/15,81190,153,$91.37 ,,
06/02/15,66100,219,($6.10),,
06/02/15,62030,213,($376.88),,
06/02/15,63050,280,($6.00),,
06/02/15,65550,203,($864.59),,
06/02/15,65760,269,($5.45),,
06/02/15,82010,283,$279.35 ,,
06/02/15,61520,272,($283.46),,
06/02/15,66030,286,($10.76),,
06/02/15,66040,204,($68.91),,
06/02/15,66040,287,($63.61),,
06/02/15,61570,237,($155.91),,
06/02/15,65690,256,($43.31),,
06/02/15,81320,205,$20.06 ,,
06/02/15,61570,255,($164.35),,
06/02/15,66030,170,($16.19),,
06/02/15,62030,185,($330.38),,
06/02/15,62020,294,"($1,266.69)",,
06/02/15,86030,269,$245.78 ,,
06/02/15,86200,212,$21.61 ,,
06/02/15,84030,179,$368.75 ,,
06/02/15,71010,154,"$2,363.89 ",,
06/02/15,66510,224,($136.76),,
06/02/15,66030,274,($19.87),,
06/02/15,81170,246,$46.54 ,,
06/02/15,73030,208,$34.54 ,,
06/02/15,72060,239,"$3,424.27 ",,
06/02/15,64000,298,$254.91 ,,
06/02/15,66550,285,($40.23),,
06/02/15,66120,293,($2.11),,
06/02/15,61570,198,($143.92),,
06/02/15,66130,292,($67.25),,
06/02/15,66110,220,($0.88),,
06/02/15,66530,182,($10.00),,
06/02/15,66070,258,($13.63),,
06/02/15,80990,208,"$2,290.21 ",,
