TranDate,Account,Dept,Sum of Amount,,
07/01/15,65600,279,($230.71),,
07/01/15,84020,255,$246.82 ,,
07/01/15,65690,183,($101.55),,
07/01/15,62510,188,($415.84),,
07/01/15,62030,237,($551.26),,
07/01/15,65520,151,($47.95),,
07/01/15,66030,164,($8.40),,
07/01/15,65700,150,($648.03),,
07/01/15,64000,241,$234.15 ,,
07/01/15,65690,242,($101.55),,
07/01/15,66110,158,($0.43),,
07/01/15,66090,297,($72.45),,
07/01/15,86310,172,$169.02 ,,
07/01/15,62560,150,($12.10),,
07/01/15,81330,265,$127.50 ,,
07/01/15,81190,292,$10.48 ,,
07/01/15,65700,282,($559.66),,
07/01/15,86100,208,$7.44 ,,
07/01/15,81170,257,$16.69 ,,
07/01/15,62099,223,$48.80 ,,
07/01/15,62030,155,($263.65),,
07/01/15,61560,198,($529.15),,
07/01/15,73020,192,$253.30 ,,
07/01/15,65740,169,($366.03),,
07/01/15,81050,170,$126.25 ,,
07/01/15,66550,247,($96.26),,
07/01/15,64020,165,$16.05 ,,
07/01/15,65550,221,"($1,639.03)",,
07/01/15,72050,186,"$1,810.60 ",,
07/01/15,66550,211,($96.26),,
07/01/15,65660,221,($156.81),,
07/01/15,61540,280,($74.76),,
07/01/15,66510,176,($157.80),,
07/01/15,68060,283,($43.33),,
07/01/15,61550,270,($533.81),,
07/01/15,65550,167,($783.89),,
07/01/15,66100,225,($5.15),,
07/01/15,64010,181,$52.58 ,,
07/01/15,65590,177,($132.57),,
07/01/15,65690,202,($101.55),,
07/01/15,62099,190,$23.34 ,,
07/01/15,65620,154,($676.49),,
07/01/15,72050,185,"$1,810.60 ",,
07/01/15,66090,184,($103.50),,
07/01/15,65650,200,($420.94),,
07/01/15,65710,285,($492.35),,
07/01/15,66020,201,"($1,337.69)",,
07/01/15,65540,295,($940.62),,
07/01/15,81270,220,$609.63 ,,
07/01/15,65520,255,($51.82),,
07/01/15,86330,232,$896.72 ,,
07/01/15,73010,276,$509.97 ,,
07/01/15,61520,251,($208.59),,
07/01/15,65600,220,($314.61),,
07/01/15,61520,248,($329.35),,
07/01/15,86450,161,"$1,200.29 ",,
07/02/15,62550,259,($91.86),,
07/02/15,65660,294,($149.68),,
07/02/15,65730,156,($1.72),,
07/02/15,66080,195,($22.03),,
07/02/15,65550,265,($748.25),,
07/02/15,62010,181,"($1,736.35)",,
07/02/15,61550,162,($253.56),,
07/02/15,66020,293,($641.54),,
07/02/15,66100,266,($5.39),,
07/02/15,66080,253,($16.16),,
