TranDate,Account,Dept,Sum of Amount
08/01/15,66530,238,($6.73)
08/01/15,66040,259,($65.10)
08/01/15,71160,285,$268.19 
08/01/15,81100,284,$74.60 
08/01/15,86180,254,$20.71 
08/01/15,71200,269,$191.02 
08/01/15,61530,243,($65.98)
08/01/15,73050,289,$21.73 
08/01/15,66040,214,($35.81)
08/01/15,63050,161,($30.38)
08/01/15,65610,295,($834.88)
08/01/15,65760,257,($4.89)
08/01/15,73050,222,$16.02 
08/01/15,82050,161,$39.08 
08/01/15,62099,209,$40.13 
08/01/15,61520,164,($299.70)
08/01/15,62099,283,$22.07 
08/01/15,66110,281,($0.62)
08/01/15,65550,288,"($1,639.03)"
08/01/15,66120,217,($1.97)
08/01/15,61570,177,($393.00)
08/01/15,66010,237,($100.42)
08/01/15,65660,234,($115.09)
08/01/15,66510,257,($68.59)
08/01/15,65730,229,($2.88)
08/01/15,66100,286,($3.12)
08/01/15,65710,240,($425.31)
08/01/15,66080,223,($8.53)
08/01/15,65610,225,($459.18)
08/01/15,86350,202,$93.08 
08/01/15,73010,255,$560.33 
08/01/15,63050,249,($73.55)
08/01/15,65750,167,($451.51)
08/01/15,84020,291,$225.08 
08/01/15,61550,252,($386.92)
08/01/15,66550,225,($71.63)
08/01/15,86400,212,($2.11)
08/01/15,66520,237,($13.04)
08/01/15,65710,198,"($1,029.46)"
08/01/15,65520,244,($94.67)
08/01/15,65590,176,($203.27)
08/01/15,62030,291,($203.93)
08/01/15,61560,161,($223.15)
08/01/15,65540,278,($476.91)
08/01/15,86010,239,$31.40 
08/01/15,66510,175,($150.24)
08/01/15,62020,227,"($1,301.95)"
08/01/15,66040,271,($30.92)
08/01/15,81350,204,$9.42 
08/01/15,65620,188,($463.96)
08/01/15,84020,292,$141.43 
08/01/15,72110,277,"$2,367.39 "
08/01/15,86450,158,$3.25 
08/01/15,73010,173,$560.33 
08/01/15,62560,259,($4.28)
08/02/15,66110,205,($0.29)
08/02/15,61510,175,($121.27)
08/02/15,71050,297,$505.68 
08/02/15,71299,182,($31.27)
08/02/15,86180,258,$27.66 
08/02/15,84020,264,$141.43 
08/02/15,65550,231,"($1,224.83)"
08/02/15,66020,224,($542.40)
08/02/15,62530,225,($129.39)
08/02/15,65660,224,($47.54)
08/02/15,65520,276,($43.22)
08/02/15,61560,267,($223.15)
08/02/15,66050,162,($66.12)
08/02/15,81090,284,$588.78 
08/02/15,66510,179,($130.65)
08/02/15,62540,271,($10.84)
08/02/15,62010,222,($841.94)
08/02/15,62560,223,($8.16)
08/02/15,66010,295,($100.42)
08/02/15,81200,235,$25.36 
08/02/15,85010,283,$99.31 
08/02/15,66100,278,($3.61)
08/02/15,64010,183,$43.72 
08/02/15,81260,198,$60.11 
08/02/15,81170,189,$57.69 
08/02/15,66110,241,($0.46)
08/02/15,62510,164,($406.00)
08/02/15,65620,167,($676.49)
08/02/15,66100,256,($3.61)
