TranDate,Account,Dept,Sum of Amount,,
09/01/15,83020,264,$108.00 ,,
09/01/15,66080,185,($5.20),,
09/01/15,66510,239,($78.20),,
09/01/15,65740,277,($274.52),,
09/01/15,66520,291,($34.13),,
09/01/15,65570,214,($10.37),,
09/01/15,65760,244,($10.25),,
09/01/15,61530,241,($49.73),,
09/01/15,66510,174,($52.56),,
09/01/15,73020,248,$215.48 ,,
09/01/15,81350,240,$15.55 ,,
09/01/15,65570,195,($4.06),,
09/01/15,62520,275,($285.86),,
09/01/15,61570,252,($152.06),,
09/01/15,62540,157,$0.92 ,,
09/01/15,66510,150,($45.40),,
09/01/15,62030,248,($163.80),,
09/01/15,66010,225,($143.46),,
09/01/15,62010,201,($485.96),,
09/01/15,83070,212,$251.39 ,,
09/01/15,65750,168,($903.05),,
09/01/15,66550,281,($75.04),,
09/01/15,65590,153,($29.41),,
09/01/15,62020,235,($855.07),,
09/01/15,61520,201,($431.80),,
09/01/15,73010,244,$271.52 ,,
09/01/15,65610,292,($672.06),,
09/01/15,71190,192,$284.12 ,,
09/01/15,62020,207,"($2,025.17)",,
09/01/15,66530,234,$3.96 ,,
09/01/15,66040,260,($27.21),,
09/01/15,61540,273,($74.51),,
09/01/15,64020,247,$4.64 ,,
09/01/15,65730,234,($1.88),,
09/01/15,62030,193,($245.70),,
09/01/15,65610,258,($936.81),,
09/01/15,62540,281,$1.29 ,,
09/01/15,86150,255,$151.93 ,,
09/01/15,65730,232,($1.51),,
09/01/15,65660,237,($131.29),,
09/01/15,65520,159,($39.10),,
09/01/15,62010,151,($890.93),,
09/01/15,62510,234,($406.00),,
09/01/15,64000,253,$201.45 ,,
09/01/15,85010,262,$163.86 ,,
09/01/15,64020,274,$5.65 ,,
09/01/15,66010,281,($87.02),,
09/01/15,63050,157,($153.42),,
09/01/15,82040,251,$97.16 ,,
09/01/15,73020,178,$61.71 ,,
09/01/15,65520,287,($65.93),,
09/01/15,65570,266,($7.44),,
09/01/15,66530,274,$6.48 ,,
09/01/15,66520,248,($11.26),,
09/01/15,61510,269,($135.37),,
09/01/15,62010,204,($841.94),,
09/02/15,62530,165,($73.76),,
09/02/15,66520,276,($20.03),,
09/02/15,71200,297,$271.15 ,,
09/02/15,66010,289,($105.21),,
09/02/15,65620,291,($135.38),,
09/02/15,82070,217,$94.92 ,,
09/02/15,65700,265,($605.00),,
09/02/15,62010,266,($593.95),,
09/02/15,66530,160,$6.07 ,,
09/02/15,65730,295,($1.86),,
09/02/15,65750,162,($609.56),,
09/02/15,66070,167,($9.80),,
09/02/15,73020,231,$50.49 ,,
09/02/15,68060,278,($72.53),,
09/02/15,65900,224,($14.18),,
09/02/15,72130,232,"$2,164.29 ",,
09/02/15,61560,223,($309.07),,
09/02/15,62099,210,$17.73 ,,
09/02/15,65660,261,($118.79),,
09/02/15,66030,241,($15.18),,
09/02/15,62520,213,($209.63),,
09/02/15,86020,254,$99.69 ,,
09/02/15,68060,178,($119.58),,
09/02/15,65650,255,($368.02),,
09/02/15,73010,219,$265.53 ,,
09/02/15,65760,234,($7.30),,
09/02/15,65610,288,($960.11),,
09/02/15,72050,291,$465.22 ,,
09/02/15,64000,228,$313.94 ,,
09/02/15,62020,228,"($2,700.23)",,
09/02/15,86290,173,$27.66 ,,
09/02/15,84020,214,$155.58 ,,
09/02/15,62540,295,$0.71 ,,
09/02/15,66100,239,($3.98),,
09/02/15,65750,277,($944.07),,
09/02/15,62540,160,$1.57 ,,
09/02/15,66050,181,($70.51),,
09/02/15,64010,249,$39.40 ,,
09/02/15,65570,209,($8.30),,
09/02/15,68060,270,($40.41),,
09/02/15,65650,279,($234.19),,
09/02/15,65650,298,($408.91),,
09/02/15,65590,265,($20.54),,
09/02/15,65740,208,($866.89),,
09/02/15,66120,258,($2.68),,
09/02/15,72110,266,"$2,656.69 ",,
09/02/15,86290,213,$33.81 ,,
09/02/15,62560,201,($34.85),,
09/02/15,82040,170,$79.49 ,,
09/02/15,61520,193,($299.70),,
09/02/15,65750,281,($581.85),,
09/02/15,81230,184,$79.82 ,,
09/02/15,66110,229,($0.56),,
09/02/15,61510,293,($147.68),,
09/02/15,65760,224,($8.45),,
09/02/15,65660,270,($91.69),,
09/03/15,64020,247,$5.95 ,,
09/03/15,66020,265,($568.23),,
09/03/15,61570,260,($228.09),,
09/03/15,73050,234,$26.01 ,,
09/03/15,86010,176,$451.19 ,,
09/03/15,61570,215,($499.62),,
09/03/15,62550,156,($87.65),,
09/03/15,65690,246,($38.12),,
09/03/15,86030,151,$95.75 ,,
09/03/15,73050,204,$131.11 ,,
09/03/15,64010,211,$33.71 ,,
09/03/15,65550,258,($898.21),,
09/03/15,66070,173,($9.35),,
09/03/15,66040,178,($98.82),,
09/03/15,73040,158,$35.64 ,,
09/03/15,64010,156,$28.90 ,,
09/03/15,66090,250,($62.40),,
09/03/15,86270,210,$263.74 ,,
09/03/15,65650,196,($245.35),,
09/03/15,71170,250,$532.31 ,,
09/03/15,81210,231,$297.82 ,,
09/03/15,66550,180,$1.35 ,,
09/03/15,66510,194,($150.24),,
09/03/15,66100,257,($3.45),,
09/03/15,66110,258,($1.18),,
09/03/15,81020,294,$60.63 ,,
09/03/15,85010,243,$109.24 ,,
09/03/15,61520,213,($316.65),,
09/03/15,62520,215,($357.14),,
09/03/15,66110,174,($0.77),,
09/03/15,66010,260,($106.35),,
09/03/15,61530,254,($76.40),,
09/03/15,61530,290,($72.93),,
09/03/15,72010,215,"$2,222.02 ",,
09/03/15,64010,293,$18.39 ,,
09/03/15,66110,188,($0.36),,
09/03/15,64020,278,$5.11 ,,
09/03/15,65730,206,($3.38),,
09/03/15,65550,195,"($1,878.07)",,
09/03/15,66090,215,($42.77),,
09/03/15,73010,154,$216.36 ,,
09/03/15,62550,250,($63.75),,
09/03/15,82060,199,$86.47 ,,
09/03/15,65700,245,($659.85),,
09/03/15,66110,200,($0.46),,
09/03/15,65750,188,($350.96),,
09/03/15,64020,195,$4.20 ,,
09/03/15,61510,290,($311.36),,
09/03/15,66080,279,($3.66),,
09/03/15,61570,163,($408.78),,
09/03/15,66050,217,($40.88),,
09/03/15,66510,196,($143.36),,
09/03/15,65710,253,($386.59),,
09/03/15,62020,208,($849.10),,
09/03/15,65700,190,($809.81),,
09/03/15,62540,249,$1.18 ,,
09/03/15,62560,233,($32.66),,
09/03/15,86040,289,$332.68 ,,
09/03/15,62010,278,($566.95),,
09/03/15,81260,287,$60.11 ,,
09/03/15,68060,177,($103.98),,
09/03/15,68060,238,($29.96),,
09/03/15,65600,154,($232.21),,
09/03/15,66090,266,($28.51),,
09/03/15,65740,215,($650.17),,
09/03/15,66030,267,($7.26),,
09/03/15,66510,171,($71.86),,
09/03/15,64000,164,$231.79 ,,
09/03/15,62030,258,($184.51),,
09/03/15,62020,298,"($1,800.15)",,
09/03/15,65590,228,($60.44),,
09/03/15,65540,173,($646.25),,
09/03/15,84020,262,$303.86 ,,
09/03/15,71325,256,($804.69),,
09/03/15,64000,280,$172.67 ,,
09/03/15,61560,294,($119.62),,
09/03/15,86400,215,($2.11),,
09/03/15,81060,248,$689.50 ,,
09/03/15,62560,167,($28.40),,
09/03/15,62030,169,($189.67),,
09/03/15,64000,170,$431.67 ,,
09/03/15,64000,193,$259.00 ,,
09/03/15,65700,254,($494.89),,
09/03/15,63050,295,($30.38),,
09/03/15,65710,208,($472.50),,
09/03/15,62530,178,($81.57),,
09/03/15,66550,244,$0.43 ,,
09/03/15,81050,202,$103.25 ,,
09/03/15,66020,179,($688.95),,
09/03/15,61550,267,($203.14),,
09/03/15,66070,295,($30.73),,
09/03/15,64000,269,$507.74 ,,
09/03/15,61570,208,($451.95),,
09/03/15,86270,223,$323.68 ,,
09/03/15,62099,273,$11.82 ,,
09/03/15,62560,180,($12.78),,
09/03/15,66040,245,($52.73),,
09/03/15,65730,192,($1.19),,
09/03/15,81310,295,$168.75 ,,
09/03/15,65550,294,($896.82),,
09/03/15,62530,183,($94.45),,
09/03/15,65600,243,($256.65),,
09/03/15,61550,231,($309.05),,
09/03/15,65610,287,"($1,149.72)",,
09/03/15,61510,261,($148.91),,
09/03/15,65660,276,($166.72),,
09/03/15,73020,291,$218.78 ,,
09/03/15,66070,208,($6.92),,
09/03/15,73010,150,($406.40),,
09/03/15,64010,156,$28.90 ,,
09/03/15,65760,291,($7.69),,
09/03/15,66090,160,($33.26),,
09/03/15,65650,260,($613.36),,
09/03/15,66030,218,($19.80),,
09/03/15,63050,226,($185.97),,
09/03/15,62010,273,($629.54),,
09/03/15,86350,279,$93.08 ,,
09/03/15,81090,230,$974.21 ,,
09/03/15,65900,232,($15.68),,
09/03/15,68060,188,($31.19),,
09/03/15,68060,261,($44.66),,
09/03/15,62510,246,($200.67),,
09/03/15,66520,266,($44.51),,
09/03/15,65730,164,($2.16),,
09/03/15,65690,258,($88.74),,
09/03/15,62560,279,($23.43),,
09/03/15,66080,188,($6.35),,
