TranDate,Account,Dept,Sum of Amount,,
11/01/15,73030,288,$56.00 ,,
11/01/15,66020,208,($36.35),,
11/01/15,65710,285,($689.71),,
11/01/15,86450,228,$80.11 ,,
11/01/15,86360,162,$50.00 ,,
11/01/15,81260,273,$76.03 ,,
11/01/15,66120,277,($1.55),,
11/01/15,86350,262,($20.68),,
11/01/15,81050,225,$137.00 ,,
11/01/15,65650,215,($2.09),,
11/01/15,61510,286,($23.70),,
11/01/15,81230,248,$45.58 ,,
11/01/15,86290,187,$38.69 ,,
11/01/15,66110,241,($0.56),,
11/01/15,81010,197,$47.00 ,,
11/01/15,65740,209,($433.45),,
11/01/15,73035,226,$122.91 ,,
11/01/15,66520,271,($1.72),,
11/01/15,65550,272,($33.44),,
11/01/15,66050,217,($40.89),,
11/01/15,86030,245,($107.12),,
11/01/15,62520,271,($78.97),,
11/01/15,61570,151,($169.37),,
11/01/15,66110,170,($0.45),,
11/01/15,61550,288,($61.87),,
11/01/15,65590,190,($6.05),,
11/01/15,66010,201,($2.03),,
11/01/15,66520,278,($1.72),,
11/01/15,86030,155,$24.95 ,,
11/01/15,61510,176,($22.07),,
11/01/15,61520,232,($151.82),,
11/01/15,66080,216,($2.03),,
11/01/15,65750,157,($726.10),,
11/01/15,71299,266,($13.14),,
11/01/15,66010,189,($2.70),,
11/01/15,65550,178,($31.14),,
11/01/15,63050,295,($10.87),,
11/01/15,65540,256,($72.39),,
11/01/15,61550,236,($66.46),,
11/01/15,65710,218,($517.28),,
11/01/15,66140,202,$12.26 ,,
11/01/15,61550,290,($61.87),,
11/01/15,65590,220,($6.05),,
11/01/15,65590,255,($6.05),,
11/01/15,73050,215,$51.04 ,,
11/01/15,66050,194,($54.52),,
11/01/15,65540,203,($72.39),,
11/01/15,66530,227,($6.93),,
11/02/15,72999,171,($236.06),,
11/02/15,65750,230,($544.58),,
11/02/15,62010,249,($283.84),,
11/02/15,66130,212,($67.79),,
11/02/15,72090,282,$976.47 ,,
11/02/15,62560,170,($1.45),,
11/02/15,65740,193,($433.45),,
11/02/15,72060,255,"$1,970.39 ",,
