TranDate,Account,Dept,Sum of Amount,,
12/01/15,83070,270,$172.47 ,,
12/01/15,66020,251,($66.04),,
12/01/15,63050,198,($12.18),,
12/01/15,64010,188,$1.88 ,,
12/01/15,61550,165,($100.86),,
12/01/15,66510,163,($6.63),,
12/01/15,65590,236,($8.06),,
12/01/15,61540,187,($1.25),,
12/01/15,73010,225,($163.59),,
12/01/15,66110,256,($0.59),,
12/01/15,61540,151,($1.34),,
12/01/15,66020,243,($68.90),,
12/01/15,66050,218,($41.27),,
12/01/15,71299,220,($35.81),,
12/01/15,86290,250,$161.12 ,,
12/01/15,66530,200,($14.16),,
12/01/15,66090,152,($8.06),,
12/01/15,72340,158,$578.20 ,,
12/01/15,66110,164,($0.59),,
12/01/15,65600,191,($14.74),,
12/01/15,65730,174,($1.27),,
12/01/15,62550,292,($16.21),,
12/01/15,65750,237,"($1,034.69)",,
12/01/15,65570,179,($3.21),,
12/01/15,86290,171,$37.85 ,,
12/01/15,62530,151,$2.73 ,,
12/01/15,66080,216,($2.84),,
12/01/15,66090,169,($6.05),,
12/01/15,65740,282,($612.36),,
12/01/15,82010,150,$533.37 ,,
12/01/15,66040,267,($6.61),,
12/01/15,65700,252,($19.64),,
12/01/15,65750,279,($544.58),,
12/01/15,61560,163,($2.91),,
12/01/15,66530,255,($14.16),,
12/01/15,66070,215,($1.81),,
12/01/15,65760,197,($6.29),,
12/01/15,72060,226,"$2,032.60 ",,
12/01/15,71310,179,"$3,653.22 ",,
12/01/15,62520,165,($147.45),,
12/01/15,65700,180,($59.98),,
12/01/15,65730,161,($1.61),,
12/01/15,71010,242,$362.91 ,,
12/01/15,65540,283,($237.36),,
12/01/15,66530,173,($14.16),,
12/01/15,62099,257,$9.26 ,,
12/01/15,86350,221,$112.50 ,,
12/01/15,72110,273,"$3,266.02 ",,
12/02/15,72130,186,($767.98),,
12/02/15,65690,290,($66.47),,
12/02/15,81900,225,$210.54 ,,
12/02/15,82080,179,$28.38 ,,
12/02/15,81280,220,$108.19 ,,
12/02/15,66020,286,($61.48),,
12/02/15,73070,213,$613.06 ,,
12/02/15,63050,255,($15.12),,
12/02/15,66070,267,($1.00),,
12/02/15,66070,234,($0.93),,
12/02/15,65600,265,($12.03),,
12/02/15,61560,172,($3.12),,
12/02/15,65710,212,($965.59),,
